date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:49	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2007%20Jan%202019%2016:05:43%20GMT	http://www.osams.si/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.osams.si%2F2019%2F01%2F03%2Fa-story-telling-festival%2F&format=xml	D:/Robert/shitpost/berzo/wp-json/oembed/1.0/embeda3b2	(from http://www.osams.si/2019/01/03/a-story-telling-festival/)
17:05:49	15476/15476	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/pravljice-ena-zvezda-1-300x200.jpg	D:/Robert/shitpost/berzo/files/2019/01/pravljice-ena-zvezda-1-300x200.jpg	(from http://www.osams.si/2019/01/03/a-story-telling-festival/)
17:05:50	35579/35579	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/02/20180302_133938-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/02/20180302_133938-520x245.jpg	(from http://www.osams.si/2019/01/03/a-story-telling-festival/)
17:05:50	53841/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2016:05:43%20GMT	http://www.osams.si/author/mrados5guest-arnes-si/	D:/Robert/shitpost/berzo/author/mrados5guest-arnes-si/index.html	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:50	6265/-1	---M--	200	added ('OK')	application/rss+xml	etag:%2274c4b818fdf5a5721cf9b32c608706b0%22	http://www.osams.si/author/mrados5guest-arnes-si/feed/	D:/Robert/shitpost/berzo/author/mrados5guest-arnes-si/feed/index.html	(from http://www.osams.si/author/mrados5guest-arnes-si/)
17:05:51	45865/45865	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/09/%c5%a0D_Jesenski-pohod2-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/09/%c5%a0D_Jesenski-pohod2-520x245.jpg	(from http://www.osams.si/author/bpongr1guest-arnes-si/)
17:05:51	44111/44111	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/09/20180920_113317-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/09/20180920_113317-520x245.jpg	(from http://www.osams.si/author/bpongr1guest-arnes-si/)
17:05:51	6325/-1	---M--	200	added ('OK')	application/rss+xml	etag:%2274c4b818fdf5a5721cf9b32c608706b0%22	http://www.osams.si/author/bpongr1guest-arnes-si/feed/	D:/Robert/shitpost/berzo/author/bpongr1guest-arnes-si/feed/index.html	(from http://www.osams.si/author/bpongr1guest-arnes-si/)
17:05:51	20381/20381	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/06/IMG_20180622_111833-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/06/IMG_20180622_111833-520x245.jpg	(from http://www.osams.si/author/bpongr1guest-arnes-si/)
17:05:51	55597/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2016:05:45%20GMT	http://www.osams.si/author/bpongr1guest-arnes-si/	D:/Robert/shitpost/berzo/author/bpongr1guest-arnes-si/index.html	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:51	22783/22783	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/05/cajanka1-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/05/cajanka1-520x245.jpg	(from http://www.osams.si/author/dsketosams-si/)
17:05:52	151554/151554	URF---	200	added ('OK%20(cached)')	image/png		http://www.osams.si/files/2018/11/Vabilo1-520x245.png	D:/Robert/shitpost/berzo/files/2018/11/Vabilo1-520x245.png	(from http://www.osams.si/author/brankoposams-si/page/2/)
17:05:52	6486/-1	---M--	200	added ('OK')	application/rss+xml	etag:%2274c4b818fdf5a5721cf9b32c608706b0%22	http://www.osams.si/author/dsketosams-si/feed/	D:/Robert/shitpost/berzo/author/dsketosams-si/feed/index.html	(from http://www.osams.si/author/dsketosams-si/)
17:05:52	20463/20463	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/11/rokeAnaEvaErazem-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/11/rokeAnaEvaErazem-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/page/2/)
17:05:52	30304/30304	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/11/IMG_20181124_122104-Custom-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/11/IMG_20181124_122104-Custom-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/page/3/)
17:05:52	48179/48179	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/11/0829_001-Custom-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/11/0829_001-Custom-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/page/3/)
17:05:52	40447/40447	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/10/IMG_20181016_180222-1-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/10/IMG_20181016_180222-1-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/page/4/)
17:05:52	18286/18286	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/10/DSC_0146-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/10/DSC_0146-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/page/4/)
17:05:53	54231/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2016:05:46%20GMT	http://www.osams.si/author/dsketosams-si/	D:/Robert/shitpost/berzo/author/dsketosams-si/index.html	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:53	32136/32136	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/10/IMG_20181009_105318001-1-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/10/IMG_20181009_105318001-1-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/page/5/)
